Hour,Minute,Price_now,Percentage,Volume
12,28,7102.25,-0.0088,51365824
12,29,7102.25,-0.0084,51418708
12,30,7110.75,-0.0075,52528543
12,31,7110.75,-0.0073,52638068
12,32,7114.75,-0.0061,53827376
12,33,7107.75,-0.0079,55423053
12,34,7102.25,-0.008,56536629
12,35,7095.25,-0.0078,58216059
12,36,7089.25,-0.0103,59709295
12,37,7088.75,-0.0121,61953994
12,39,7092.75,-0.0106,63010108
12,40,7089.25,-0.0129,67480200
12,41,7089.75,-0.0123,70013802
12,42,7093.75,-0.0136,70665757
12,43,7083.75,-0.0144,71661656
12,44,7089.25,-0.0124,72426400
12,45,7092.75,-0.0131,72924738
12,46,7085.25,-0.0165,74547607
12,47,7082.75,-0.0179,76184805
12,48,7080.25,-0.018,76938054
12,49,7082.25,-0.0158,77969676
12,50,7084.75,-0.0177,79536586
12,51,7083.75,-0.0193,79791630
12,52,7067.25,-0.0204,94576037
12,53,7072.75,-0.0206,96420464
12,54,7061.75,-0.0226,97477946
12,55,7052.75,-0.0223,101655813
12,56,7064.25,-0.0225,106864503
12,57,7068.25,-0.0206,107984986
12,58,7062.25,-0.0215,108733253
12,59,7069.75,-0.0215,109992407
13,0,7071.75,-0.0229,884767
13,1,7067.25,-0.0218,2090008
13,2,7064.75,-0.0215,2601511
13,3,7057.75,-0.0222,4745579
13,4,7051.75,-0.0227,5879369
13,5,7054.25,-0.0223,7821204
13,6,7049.75,-0.0241,9480651
13,7,7049.25,-0.0245,14859395
13,8,7056.75,-0.0242,18539461
13,9,7060.25,-0.0243,20761119
13,10,7069.25,-0.0231,22674798
13,11,7062.75,-0.0222,23682741
13,12,7069.75,-0.0204,24582935
13,13,7068.75,-0.0191,26934210
13,14,7061.75,-0.0202,31756026
13,15,7050.25,-0.0218,36217497
13,16,7061.25,-0.0202,38344891
13,17,7065.25,-0.0201,38887383
13,18,7069.25,-0.0194,39329242
13,19,7074.25,-0.0178,39957666
13,20,7072.25,-0.0168,40757996
13,21,7071.25,-0.0178,41083109
13,22,7076.75,-0.0175,41610827
13,23,7078.25,-0.0174,43732180
13,24,7075.75,-0.0178,44690769
13,25,7081.75,-0.0169,48084797
13,26,7078.25,-0.0181,48324384
13,28,7061.75,-0.0205,49799787
13,29,7051.75,-0.022,52093397
13,30,7055.75,-0.0218,53405379
13,31,7046.75,-0.0232,55585653
13,32,7047.25,-0.0239,57687293
13,33,7054.75,-0.0231,58573404
13,34,7057.25,-0.0227,59315334
13,35,7054.25,-0.0232,60110976
13,36,7062.75,-0.0222,61060008
13,37,7055.25,-0.0211,61758129
